ID,상호명,주소,전화,웹사이트,이메일,업종,상태,등록일,최종발송일
224,비전엔지니어링,대한민국 경기도 수원시 영통구 원천동 552,031-8002-3450,http://www.vision1.co.kr/,,소방설비 설계 사무소,new,2026-05-24 11:29:48,
225,수원 남해전기공사,대한민국 경기도 수원시 권선구 권선로 568-20 KR,010-5243-7586,https://blog.naver.com/hss031,,전기 설비 설계,new,2026-05-24 11:29:48,
226,전기쟁이,대한민국 수원시,031-258-0088,,,전기 설비 설계,new,2026-05-24 11:29:48,
227,파워텔수원전기학원,대한민국 경기도 수원시 팔달구 화서동 644-1,031-245-0903,http://www.powertell.kr/,powertell_elec@naver.com,전기 설비 설계,new,2026-05-24 11:29:48,
228,대한설비건설협회 경기도회,대한민국 경기도 수원시 장안구 정자2동 80-17,031-252-4178,http://www.kmcca.or.kr/,,전기 설비 설계,new,2026-05-24 11:29:48,
229,(주)하우코스트건설계약연구소,대한민국 경기도 수원시 권선구 수성로 8 경기중소기업성장지원센터,031-417-0466,http://xcost.me/,estimate@howcost.co.kr,전기 설비 설계,new,2026-05-24 11:29:48,
230,전기공사,대한민국 경기도 수원시 권선구 당진로15번길 54 KR,031-502-1994,,,전기 설비 설계,new,2026-05-24 11:29:48,
231,(주)대경기술단,대한민국 경기도 수원시 팔달구 우만2동 146,031-214-4949,http://daek.co.kr/,,전기 설비 설계,new,2026-05-24 11:29:48,
232,동성직업전문학교,대한민국 경기도 수원시 팔달구 인계동 746-1,031-235-0496,http://www.dsung.or.kr/,,전기 설비 설계,new,2026-05-24 11:29:48,
233,(주)단성,대한민국 경기도 수원시 권선구 고색동 971,031-244-4419,http://www.dansung.co.kr/,,전기 설비 설계,new,2026-05-24 11:29:48,
234,화서전기조명,대한민국 경기도 수원시 팔달구 화서동 71-68,031-254-3800,,,전기 설비 설계,new,2026-05-24 11:29:48,
235,삼애에프에이전기,대한민국 경기도 화성시 팔탄면 고주리 202-5 KR,031-352-8414,http://www.samyefa.com/,,전기 설비 설계,new,2026-05-24 11:29:48,
236,수원상공회의소,대한민국 경기도 수원시 장안구 수성로 311,031-244-3451,https://suwoncci.korcham.net/front/user/main.do,suwon@korcham.net,전기 설비 설계,new,2026-05-24 11:29:48,
237,한국전기기술인협회 전기기술교육원,대한민국 경기도 안양시 동안구 흥안대로439번길 20-3 4층,1899-3838,http://www.keea.or.kr/,keea111@keea.or.kr,전기 설비 설계,new,2026-05-24 11:29:48,
238,상기이엔지주식회사,대한민국 경기도 화성시 반송동 메타폴리스로 42 디앤씨빌딩 601호,031-613-8320,http://www.sanggieng.net/,,전기 설비 설계,new,2026-05-24 11:29:48,
239,좋은씨앗전기소방학원,대한민국 경기도 군포시 산본동 번지 203호 1155-4 도장교육센터 KR,031-8045-9919,http://www.goodseedeng.co.kr/,shinilig@naver.com,전기 설비 설계,new,2026-05-24 11:29:48,
240,대명기술단,대한민국 수원시,031-223-1116,http://dae-myungeng.co.kr/,,전기 설비 설계,new,2026-05-24 11:29:48,
241,플랜트배관용접학원,대한민국 경기도 수원시 권선구 구운동 506-8,031-293-2224,http://rtwaytop.co.kr/,,배관 설계 전문,new,2026-05-24 11:29:48,
242,(주)미전종합건설,대한민국 경기도 수원시 권선동 1016-15 번지 2F,031-272-8186,http://www.mijeoncon.com/,cm@mijeoncon.com,배관 설계 전문,new,2026-05-24 11:29:48,
243,수원산업설비배관공사,대한민국 수원시 팔달구 매교동 138-9번지 수원시 경기도 KR,031-221-6002,,,배관 설계 전문,new,2026-05-24 11:29:48,
244,수원누수탐지,대한민국 경기도 수원시 권선구 권선로580번길 47 KR,010-4050-3430,https://swnusu.modoo.at/,,배관 설계 전문,new,2026-05-24 11:29:48,
245,삼우에이시스템(주),대한민국 경기도 수원시 팔달구 인계동 953 5번지,031-239-3366,http://samwooa.com/,,배관 설계 전문,new,2026-05-24 11:29:48,
246,경기배관용접연습장학원,대한민국 경기도 평택시 서정동 604-39,010-2946-4860,http://blog.naver.com/ggwps,,배관 설계 전문,new,2026-05-24 11:29:48,
247,(주)에스오공조,대한민국 수원시,031-245-8883,,,배관 설계 전문,new,2026-05-24 11:29:48,
248,우정플랜트,"대한민국 경기도 시흥시 정왕동 옥구천동로 256 KR 1255, 시화공단2나 101호",010-3333-6199,http://wjplant.co.kr/,wjgi04@naver.com,배관 설계 전문,new,2026-05-24 11:29:48,
249,(주)우정기공,대한민국 경기도 시흥시 정왕동 1255,031-498-4864,,,배관 설계 전문,new,2026-05-24 11:29:48,
250,데브캐드,대한민국 경기도 수원시 영통구 영통로241번길 12-39,010-8977-1794,http://devcad.kr/,progra@naver.com,배관 설계 전문,new,2026-05-24 11:29:48,
251,삼영이엔지,대한민국 화성시,031-355-3315,http://www.syeng.net/,sales@syeng.net,배관 설계 전문,new,2026-05-24 11:29:48,
252,기능사,대한민국 경기도 수원시 권선구 세류1동 256-24,031-232-8698,https://namu.wiki/w/%EA%B8%B0%EB%8A%A5%EC%82%AC,support@namu.wiki,배관 설계 전문,new,2026-05-24 11:29:48,
253,HVAC시스템,대한민국 경기도 수원시 권선구 곡반정동 387-3,031-223-1202,,,HVAC 설계 전문,new,2026-05-24 11:29:48,
254,(주)수원측량설계공사,대한민국 경기도 수원시 팔달구 인계동 1035-10,031-898-5533,,,플랜트 배관 설계,new,2026-05-24 11:29:48,
255,(주)건축사사무소담,대한민국 경기도 수원시 권선동 945-5 KR,031-225-6767,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
256,두림건축사사무소,대한민국 경기도 수원시 팔달구 인계동 991-12,031-239-3162,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
257,건축사사무소천지인건축,대한민국 경기도 수원시 권선구 권선동,031-232-2114,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
258,(주)명성종합건축사사무소,대한민국 경기도 수원시 팔달구 인계동 1040-3,031-221-7339,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
259,모던건축사사무소,대한민국 경기도 수원시 권선구 세류동 202-11,031-226-1814,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
260,월메이드건설,대한민국 경기도 광명시 일직동 새빛공원로67 자이타워 A 515-1 KR 동 1106호,1566-5309,http://www.wallmade.co.kr/,,건설사 BIM 담당,new,2026-05-24 11:29:48,
261,(주)하이안종합건설,대한민국 경기도 수원시 권선구 권선동 1006-6번지 301호,031-237-2267,,,종합건설 설계팀,new,2026-05-24 11:29:48,
262,(주)티엠종합건설,대한민국 경기도 수원시 권선구 곡반정동 603-8번지 2층,031-214-1122,,,종합건설 설계팀,new,2026-05-24 11:29:48,
263,(주)창녕종합건설,대한민국 경기도 수원시 장안구 송죽동 445-4,031-257-9213,,,종합건설 설계팀,new,2026-05-24 11:29:48,
264,(주)광종합건설,대한민국 경기도 수원시 팔달구 화서2동 644-1,031-253-0147,,,종합건설 설계팀,new,2026-05-24 11:29:48,
265,(주)더원종합건설,대한민국 경기도 수원시 팔달구 지동,031-252-8300,,,종합건설 설계팀,new,2026-05-24 11:29:48,
266,(주)한주종합건설,대한민국 경기도 수원시 팔달구 인계동 991-9,031-234-5886,,,종합건설 설계팀,new,2026-05-24 11:29:48,
267,(주)성윤건설,대한민국 경기도 수원시 권선구 세류동 584-1,,,,종합건설 설계팀,new,2026-05-24 11:29:48,
268,(주)청마종합건설,대한민국 수원시 영통구 신동 531-8번지 2층 수원시 경기도 KR,031-548-2210,,,종합건설 설계팀,new,2026-05-24 11:29:48,
269,고려종합건설,대한민국 경기도 수원시 권선구 세류동 1081-21,031-224-5212,,,종합건설 설계팀,new,2026-05-24 11:29:48,
270,유선종합건설(주),대한민국 경기도 수원시 권선구 오목천동 763,031-238-5765,,,종합건설 설계팀,new,2026-05-24 11:29:48,
271,(주)동호종합건설,대한민국 경기도 수원시 팔달구 인계동 1009-3,031-221-4107,,,종합건설 설계팀,new,2026-05-24 11:29:48,
272,유선종합건설(주),대한민국 경기도 수원시 권선구 고색동,031-278-5769,,,종합건설 설계팀,new,2026-05-24 11:29:48,
273,한원종합건설(주),대한민국 경기도 수원시 팔달구 인계동 374-14,031-214-8900,,,종합건설 설계팀,new,2026-05-24 11:29:48,
274,(주)보경종합설계,대한민국 경기도 수원시 권선구 권선동 번지 401호 1014-3 KR,,,,종합건설 설계팀,new,2026-05-24 11:29:48,
275,정림종합건설,대한민국 경기도 수원시 권선구 세류동 1125-27,031-267-0570,,,종합건설 설계팀,new,2026-05-24 11:29:48,
276,진우종합건축사사무소,대한민국 경기도 수원시 팔달구 인계동 369-6,031-214-8800,,,종합건설 설계팀,new,2026-05-24 11:29:48,
277,(주)한스건설,대한민국 경기도 수원시 팔달구 인계동 374-14,031-217-3300,,,종합건설 설계팀,new,2026-05-24 11:29:48,
278,동서종합조경건설,대한민국 경기도 수원시 영통구 매탄동 522-2,031-212-5471,,,종합건설 설계팀,new,2026-05-24 11:29:48,
279,(주)합동건설,대한민국 경기도 수원시 영통구 원천동 366-32번지 2층 201호 KR,,,,종합건설 설계팀,new,2026-05-24 11:29:48,
280,여유당건축사사무소(주),대한민국 경기도 수원시 장안구 율전동 166-2,031-278-2209,http://yyd2011.com/,,건축 설계 사무소,new,2026-05-24 11:29:48,
281,휘게건축사사무소,대한민국 경기도 수원시 장안구 수성로350번길 6-1,010-8934-6753,https://blog.naver.com/hygge6,,건축 설계 사무소,new,2026-05-24 11:29:48,
282,영진건축사사무소,대한민국 경기도 수원시 팔달구 인계동 1031-2-4,031-221-1351,,,건축 설계 사무소,new,2026-05-24 11:29:48,
283,(주)마루지건축사사무소,대한민국 경기도 수원시 팔달구 권선로 751,031-238-5405,,,건축 설계 사무소,new,2026-05-24 11:29:48,
284,허브건축사사무소,대한민국 경기도 수원시 영통구 망포동,031-239-6785,http://hubarch.co.kr/,,건축 설계 사무소,new,2026-05-24 11:29:48,
285,예영건축사사무소,대한민국 경기도 수원시 팔달구 우만동 522-8,031-241-1906,,,건축 설계 사무소,new,2026-05-24 11:29:48,
286,단상건축사사무소,대한민국 경기도 수원시 영통구 광교중앙로 234 드림타워 5 5층 501호,031-274-4287,https://www.dansang.co.kr/,,건축 설계 사무소,new,2026-05-24 11:29:48,
287,(주)건축사사무소토담21,대한민국 경기도 수원시 영통구 신동 342-5,031-204-8826,http://todam21.com/,todam21@todam21.com,건축 설계 사무소,new,2026-05-24 11:29:48,
288,(주)스텝건축사사무소,대한민국 경기도 수원시 팔달구 인계동 1034-2,031-239-7531,,,건축 설계 사무소,new,2026-05-24 11:29:48,
289,스톨츠 건축사사무소,대한민국 경기도 수원시 팔달구 인계동 장다리로 328 MJ아이티밸리 3층 303호,010-7561-5520,,,건축 설계 사무소,new,2026-05-24 11:29:48,
290,(주)종합건축사사무소예인,대한민국 경기도 수원시 권선구 권선동 972-14,031-223-4322,,,건축 설계 사무소,new,2026-05-24 11:29:48,
291,건축사사무소장승,대한민국 경기도 수원시 팔달구 인계동 1134-9,031-232-7424,,,건축 설계 사무소,new,2026-05-24 11:29:48,
292,백건축사사무소,대한민국 경기도 수원시 팔달구 우만동 26-40,031-212-1894,,,건축 설계 사무소,new,2026-05-24 11:29:48,
293,(주)코리아건축사사무소,대한민국 경기도 수원시 팔달구 매향동 번지 2층 122-51,031-271-3902,,,건축 설계 사무소,new,2026-05-24 11:29:48,
294,그린건축사사무소,대한민국 경기도 수원시 팔달구 인계동 1031-2,031-232-1009,,,건축 설계 사무소,new,2026-05-24 11:29:48,
295,이소건축사사무소(주),대한민국 경기도 수원시 영통구 하동 번지 A 1016-1 동 1914호,031-267-2490,,,건축 설계 사무소,new,2026-05-24 11:29:48,
296,동헌건축사사무소,대한민국 경기도 수원시 권선구 금호동 호매실로 104번길 90 제이디타워1 602-1호,070-8807-5840,,,건축 설계 사무소,new,2026-05-24 11:29:48,
297,가림종합건설(주),대한민국 경기도 수원시 권선구 세류동 1029-3,031-233-3666,,,종합건설회사,new,2026-05-24 11:29:48,
298,상룡종합건설(주),대한민국 경기도 수원시 권선구 평동 144-1,031-292-0044,,,종합건설회사,new,2026-05-24 11:29:48,
299,(주)한울건설,"3F, 74-5 Taeyeon Building, 호매실동 권선구 수원시 경기도 대한민국",031-292-5548,http://www.hanulenc.com/,jwghanul@hanmail.net,종합건설회사,new,2026-05-24 11:29:48,
300,자유종합건설(주),대한민국 경기도 수원시 팔달구 팔달로2가 7-1,031-232-3099,,,종합건설회사,new,2026-05-24 11:29:48,
301,(주)장인종합건설,대한민국 경기도 수원시 장안구 영화동 127-39,031-268-9690,,,종합건설회사,new,2026-05-24 11:29:48,
302,한아종합건설(주),대한민국 경기도 수원시 권선구 고색동 986,031-291-8505,,,종합건설회사,new,2026-05-24 11:29:48,
303,대영종합건설,대한민국 경기도 수원시 권선구 입북동 251-8,031-236-8707,,,종합건설회사,new,2026-05-24 11:29:48,
304,세운종합건설(주),대한민국 경기도 수원시 권선구 장지동 6-8,031-222-0178,,,종합건설회사,new,2026-05-24 11:29:48,
305,(주)건영종합건설,대한민국 경기도 수원시 권선구 권선동 번지 3층 1064-7 KR,031-2172-0023,,,종합건설회사,new,2026-05-24 11:29:48,
306,원영종합건설,대한민국 경기도 수원시 팔달구 인계동 1034-2,031-226-3158,,,종합건설회사,new,2026-05-24 11:29:48,
307,우성종합건설(주),대한민국 경기도 수원시 장안구 정자2동 79-17,031-241-1637,,,종합건설회사,new,2026-05-24 11:29:48,
308,(주)아람종합건설,대한민국 경기도 수원시 권선구 권선동 1250,031-232-8504,,,종합건설회사,new,2026-05-24 11:29:48,
309,(주)건인종합건설,대한민국 경기도 수원시 권선구 고색동 890 149번지 KR,,,,종합건설회사,new,2026-05-24 11:29:48,
310,선진토목설계사무소,대한민국 경기도 화성시 팔탄면 율암리 177-8,031-8059-2789,,,기계설비 설계 사무소,new,2026-05-24 11:29:48,
311,오복토목설계사무소,대한민국 경기도 화성시 송산면 사강로 209,031-356-3314,http://www.oboktm.com/,kbhw912@naver.com,기계설비 설계 사무소,new,2026-05-24 11:29:48,
312,명인토목설계사무소,대한민국 경기도 화성시 남양읍,031-356-8688,,,기계설비 설계 사무소,new,2026-05-24 11:29:48,
313,대한토목측량종합설계사무소,대한민국 경기도 화성시 남양읍 357,031-356-9399,,,기계설비 설계 사무소,new,2026-05-24 11:29:48,
314,경기토목설계공사,대한민국 경기도 화성시 남양읍 2078-4,031-355-2913,,,기계설비 설계 사무소,new,2026-05-24 11:29:48,
315,경기건설기계,대한민국 경기도 화성시 팔탄면 율암리,031-354-3168,,,기계설비 전문건설,new,2026-05-24 11:29:48,
316,세방건축사사무소,대한민국 경기도 화성시 마도면 두곡리,031-355-3050,,,소방설비 설계 사무소,new,2026-05-24 11:29:48,
317,세방건축사사무소,대한민국 경기도 화성시 남양읍,031-355-3050,,,소방설비 설계 사무소,new,2026-05-24 11:29:48,
318,건축사사무소지안,대한민국 경기도 화성시 정남면 서봉로 920 201호,031-353-0253,https://blog.naver.com/jian0248,,소방설비 설계 사무소,new,2026-05-24 11:29:48,
319,세화건축사사무소,대한민국 경기도 화성시 향남읍 장짐리 270-1,031-352-5001,,,소방설비 설계 사무소,new,2026-05-24 11:29:48,
320,소로종합건축사사무소,대한민국 화성시 팔탄면 구장리 38-32번지 A동 302호 화성시 경기도 KR,031-353-3336,,,소방설비 설계 사무소,new,2026-05-24 11:29:48,
321,(사)화성시도시형소공인협의회,"대한민국 경기도 화성시 만세구 팔탄면 율암리 112-28 1동, 2동",031-353-2129,http://hadpf.com/,2129@hsma.or.kr,소방설비 설계 사무소,new,2026-05-24 11:29:48,
322,"육송(주) / YOOKSONG CO., LTD.",대한민국 경기도 안성시 죽산면 상구산길 17-24,031-672-0051,http://www.yooksong.com/,,소방설비 설계 사무소,new,2026-05-24 11:29:48,
323,삼일기계,대한민국 경기도 화성시 봉담읍 마하리 348-16,031-295-4283,,,소방설비 설계 사무소,new,2026-05-24 11:29:48,
324,(주)신일소방,대한민국 경기도 오산시 원동 765-7,031-372-1199,,,소방설비 설계 사무소,new,2026-05-24 11:29:48,
325,화성정밀,대한민국 경기도 화성시 팔탄면 서해로1121번길 18 발안현대공구타운 203동 117호,010-8903-3481,https://www.hwaseongeng.com/,dodo3848@gmail.com,소방설비 설계 사무소,new,2026-05-24 11:29:48,
326,(주)동철,대한민국 경기도 화성시 기안동 65-3,031-223-7400,,,소방설비 설계 사무소,new,2026-05-24 11:29:48,
327,화성소방서,대한민국 경기도 화성시 향남읍 행정리 436-6,031-8012-6119,,,소방설비 설계 사무소,new,2026-05-24 11:29:48,
328,화성전기건설,대한민국 인천광역시,032-427-0211,http://hwasungelec.co.kr/,hs03527@hwasungelec.co,전기 설비 설계,new,2026-05-24 11:29:48,
329,화성전기건설(주),대한민국 경기도 화성시 동탄면 오산리,031-374-5211,,,전기 설비 설계,new,2026-05-24 11:29:48,
330,소망전열,대한민국 경기도 화성시 팔탄면 시청로 934-6 우리들유통상가 D동 109호,031-366-2290,https://www.somangheat.com/,smheat@hanmail.net,전기 설비 설계,new,2026-05-24 11:29:48,
331,(주)우영전설,대한민국 경기도 화성시 팔탄면 율암리 842-40,031-354-6889,,,전기 설비 설계,new,2026-05-24 11:29:48,
332,(주)우양이엔지,대한민국 경기도 화성시 남양읍 현대기아로 495,031-434-2204,http://www.wooyangeng.co.kr/,wooyang1@wooyangeng.co.kr,전기 설비 설계,new,2026-05-24 11:29:48,
333,삼영종합기기,대한민국 경기도 화성시 마도면 마도로 613-18,031-431-4901,https://bitzer.co.kr/main/main.php,,전기 설비 설계,new,2026-05-24 11:29:48,
334,화성전기안전관리,대한민국 경기도 화성시 팔탄면 매곡리,,,,전기 설비 설계,new,2026-05-24 11:29:48,
335,화성상도전기,대한민국 경기도 화성시 장안면 어은리 354-3,031-351-1758,,,전기 설비 설계,new,2026-05-24 11:29:48,
336,대한열기,대한민국 경기도 화성시 양감면 송산리 258-8,031-354-3581,https://dhheat.com/,dhh3581@naver.com,전기 설비 설계,new,2026-05-24 11:29:48,
337,대광전기공사,대한민국 경기도 화성시 장안면 어은리 354,031-351-1758,,,전기 설비 설계,new,2026-05-24 11:29:48,
338,가람전기(주),대한민국 경기도 화성시 봉담읍 동화리 270-1번지 KR,,,,전기 설비 설계,new,2026-05-24 11:29:48,
339,주식회사 화성배관,대한민국 경기도 수원시 권선구 평동로9번길 29-9 배관자재총판 화성배관,050-71424-1488,http://m.blog.naver.com/hssteel333,,배관 설계 전문,new,2026-05-24 11:29:48,
340,(주)이에스건축사사무소,대한민국 경기도 화성시 팔탄면 마당바위로 21,031-353-9955,https://blog.naver.com/es-architects,,배관 설계 전문,new,2026-05-24 11:29:48,
341,아트테크,대한민국 경기도 화성시 팔탄면 3.1만세로 597,010-6268-6964,,,배관 설계 전문,new,2026-05-24 11:29:48,
342,다인파워텍(주),대한민국 화성시 마도면 청원리 379-1번지 화성시 경기도 KR,031-356-1794,,,배관 설계 전문,new,2026-05-24 11:29:48,
343,(주)정현프랜트,대한민국 경기도 화성시 남양읍 남양로 59-13,031-3569-6927,,,배관 설계 전문,new,2026-05-24 11:29:48,
344,한양이엔지 본사,대한민국 경기도 화성시 영통로26번길 72,031-695-0000,http://www.hanyangeng.co.kr/,chkim@hanyangeng.co.kr,배관 설계 전문,new,2026-05-24 11:29:48,
345,(주)연합건축사사무소,대한민국 화성시 향남읍 행정리 425-7번지 516호 화성시 경기도 KR,02-582-8232,,,배관 설계 전문,new,2026-05-24 11:29:48,
346,화성산업진흥원,"대한민국 경기도 화성시 봉담읍 동화길 51 프리미엄 원희캐슬 501,502,503,504,505호",031-278-4228,https://www.hsbiz.or.kr/,,배관 설계 전문,new,2026-05-24 11:29:48,
347,(주)주일플랜트,대한민국 경기도 화성시 송산면 화성로 316-16,031-356-6858,http://juilplant.co.kr/,,배관 설계 전문,new,2026-05-24 11:29:48,
348,(주)영성멀티텍,대한민국 경기도 화성시 정남면 만년로98번길 88,031-378-7378,https://ysmtf.com/,bobder@ysmtf.com,배관 설계 전문,new,2026-05-24 11:29:48,
349,(주)범한엔지니어링종합건축사사무소,대한민국 경기도 화성시 송산동,031-221-9894,,,배관 설계 전문,new,2026-05-24 11:29:48,
350,주식회사 원클라스,대한민국 경기도 화성시 동탄순환대로 830 sk v1 center 1315호,031-8058-2148,http://www.oneclass.co.kr/,,배관 설계 전문,new,2026-05-24 11:29:48,
351,(주)예하제종합건축사사무소,대한민국 경기도 화성시 병점동 번지 B 347-10 KR동 301호,,,,배관 설계 전문,new,2026-05-24 11:29:48,
352,진명산업개발(주),대한민국 경기도 화성시 동탄면 장지리,031-373-2097,,,배관 설계 전문,new,2026-05-24 11:29:48,
353,명인에어컨설치,대한민국 경기도 화성시 봉담읍 수기리 10-10,010-9176-2668,https://www.명인에어컨.com/,koosave@naver.com,HVAC 설계 전문,new,2026-05-24 11:29:48,
354,화성공장건축 평택공장건축 물류창고 냉동창고 평택토목공사건축건설팅,대한민국 경기도 평택시 청북읍 고렴길 3 2층,050-71320-9751,https://hs-i.kr/,,HVAC 설계 전문,new,2026-05-24 11:29:48,
355,화성냉동설비,대한민국 경기도 화성시 봉담읍 동화리 146-1,031-278-9630,http://hslg.kr/,cgh0@naver.com,HVAC 설계 전문,new,2026-05-24 11:29:48,
356,시스템에어컨,대한민국 경기도 화성시 봉담읍 당하리,070-4557-6276,,,HVAC 설계 전문,new,2026-05-24 11:29:48,
357,(주)삼원절연,대한민국 경기도 화성시 팔탄면 율암리 91-3,031-311-8935,,,HVAC 설계 전문,new,2026-05-24 11:29:48,
358,주신건축사사무소,대한민국 경기도 화성시 향남읍 행정서남로 62,031-8059-0482,,,HVAC 설계 전문,new,2026-05-24 11:29:48,
359,시스템에어컨,대한민국 경기도 화성시 봉담읍 동화리,070-4557-6408,,,HVAC 설계 전문,new,2026-05-24 11:29:48,
360,(주)하나이엔지,대한민국 경기도 화성시 마도면 슬항리,031-355-2507,,,HVAC 설계 전문,new,2026-05-24 11:29:48,
361,진화(주),대한민국 경기도 화성시 비봉면 청요리 291-9,,,,HVAC 설계 전문,new,2026-05-24 11:29:48,
362,이조건축사사무소,대한민국 경기도 화성시 향남읍 장짐리 360-1,031-366-2426,,,HVAC 설계 전문,new,2026-05-24 11:29:48,
363,탑플랜트,대한민국 경기도 화성시 우정읍 화수리 724-1,031-351-5572,,,플랜트 배관 설계,new,2026-05-24 11:29:48,
364,(주)아이엠건축사사무소,대한민국 경기도 화성시 병점동 번지 2층 356-2,,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
365,드림건축사사무소,대한민국 경기도 화성시 남양읍 28,031-366-7670,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
366,미래건축사사무소,대한민국 경기도 화성시 비봉면 양노리 631-5,031-355-0055,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
367,(주)이든건축사사무소,대한민국 경기도 화성시 남양읍 남양리 2063-7번지,,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
368,일오그룹건축사사무소,대한민국 경기도 화성시 남양읍 2002,031-356-3503,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
369,화성건축사사무소,대한민국 경기도 화성시 남양읍 395-9,031-356-4012,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
370,이타건축사사무소,대한민국 경기도 화성시 동탄순환대로 830 KR,010-5604-2834,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
371,시상21건축사사무소,대한민국 경기도 화성시 봉담읍 상리 22-54,031-298-0073,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
372,장인건축사사무소,대한민국 경기도 화성시 병점동 348-4,031-221-9088,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
373,위아건축사사무소,대한민국 경기도 화성시 안녕동 176-214,,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
374,(주)부림건축사무소,대한민국 경기도 평택시 청북읍 옥길리 229-1,031-657-2350,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
375,세인건축사사무소,대한민국 경기도 화성시 병점동 844-4,031-239-6607,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
376,신영건축사,대한민국 경기도 화성시 남양읍 1310-3,031-355-0212,,,건축사사무소 BIM,new,2026-05-24 11:29:48,
377,한국도로공사 스마트건설사업단,대한민국 경기도 화성시 동탄순환대로17길 24,031-8098-6407,,,건설사 BIM 담당,new,2026-05-24 11:29:48,
378,(주)한건종합건설,대한민국 경기도 화성시 중동 중리,031-377-2126,,,종합건설 설계팀,new,2026-05-24 11:29:48,
379,조아종합건설(주),대한민국 경기도 화성시 여울로,031-8003-0498,http://www.joacons.co.kr/,,종합건설 설계팀,new,2026-05-24 11:29:48,
380,다대종합건설,대한민국 경기도 화성시 봉담읍 삼천병마로 890 KR,031-298-4910,http://da-dae.co.kr/,dadae1001@hanmail.net,종합건설 설계팀,new,2026-05-24 11:29:48,
381,(주)학개종합건설,대한민국 경기도 화성시 비봉면 양노리 147-2 KR,031-355-3088,,,종합건설 설계팀,new,2026-05-24 11:29:48,
382,홈즈건축,대한민국 경기도 화성시 동탄기흥로 614 KR,1522-4987,https://homezdna.com/,,종합건설 설계팀,new,2026-05-24 11:29:48,
383,정현종합건설,대한민국 경기도 화성시 장안면 수촌리 877-26,031-351-7744,,,종합건설 설계팀,new,2026-05-24 11:29:48,
384,정원종합건설(주),대한민국 화성시 팔탄면 서근리 174번지 103호 화성시 경기도 KR,,,,종합건설 설계팀,new,2026-05-24 11:29:48,
385,종합건설,대한민국 경기도 화성시 서신면 상안리,,,,종합건설 설계팀,new,2026-05-24 11:29:48,
386,조원종합건설(주),대한민국 경기도 화성시 매송면 원평리 107-8,,,,종합건설 설계팀,new,2026-05-24 11:29:48,
387,정종합건설(주),대한민국 경기도 화성시 향남읍 행정리 474-3,031-378-3600,,,종합건설 설계팀,new,2026-05-24 11:29:48,
388,한국환경종합건설,대한민국 경기도 화성시 장안면 석포리 675-3,031-351-6850,,,종합건설 설계팀,new,2026-05-24 11:29:48,
389,직영종합건설,대한민국 경기도 화성시 남양읍,,,,종합건설 설계팀,new,2026-05-24 11:29:48,
390,국영종합건설(주),대한민국 경기도 화성시 팔탄면 지월리 499-14번지 4층 KR 14동,031-352-8881,,,종합건설 설계팀,new,2026-05-24 11:29:48,
391,(주)서부종합건설,대한민국 경기도 화성시 팔탄면 지월리 586-6,031-373-0000,,,종합건설 설계팀,new,2026-05-24 11:29:48,
392,에스지종합건설(주),대한민국 경기도 화성시 팔탄면 율암리,031-353-4780,,,종합건설 설계팀,new,2026-05-24 11:29:48,
393,예성종합건설(주),대한민국 경기도 화성시 팔탄면 창곡리 1037-5 KR,031-366-1830,,,종합건설 설계팀,new,2026-05-24 11:29:48,
394,씨티종합건설(주),대한민국 화성시 비봉면 양노리 280-26번지 902호 화성시 경기도 KR,031-357-5862,,,종합건설 설계팀,new,2026-05-24 11:29:48,
395,수성종합건설(주),대한민국 경기도 화성시 반월동 717,031-211-7761,,,종합건설 설계팀,new,2026-05-24 11:29:48,
396,영성종합건설(주),대한민국 경기도 화성시 남양읍 2029-8,031-366-9244,,,종합건설 설계팀,new,2026-05-24 11:29:48,
397,코드건축사사무소,대한민국 경기도 화성시 남양읍 역골동로 124 704호,010-8335-7705,http://www.codearch.co.kr/,codearch@naver.com,건축 설계 사무소,new,2026-05-24 11:29:48,
398,건축사사무소샵플러스,대한민국 경기도 화성시 팔탄면 구장리 38-32,031-352-7931,,,건축 설계 사무소,new,2026-05-24 11:29:48,
399,(주)에스앤제이건축사사무소,대한민국 경기도 화성시 남양읍 2075-17,031-356-3170,,,건축 설계 사무소,new,2026-05-24 11:29:48,
400,영종합건축사사무소,대한민국 경기도 화성시 진안동 병점로 37-6,031-236-3577,http://youngarch.modoo.at/,,건축 설계 사무소,new,2026-05-24 11:29:48,
